SKU Code,Design No.,Stock,Category,Size,Color
BL111-M,BL111,6.0,BLOUSE,M,BLACK
BL111-S,BL111,11.0,BLOUSE,S,BLACK
BL111-XL,BL111,4.0,BLOUSE,XL,BLACK
BL111-XS,BL111,13.0,BLOUSE,XS,BLACK
BL111-XXL,BL111,2.0,BLOUSE,XXL,BLACK
BL113-L,BL113,4.0,BLOUSE,L,MAROON
BL113-M,BL113,3.0,BLOUSE,M,MAROON
BL113-S,BL113,11.0,BLOUSE,S,MAROON
BL113-XL,BL113,8.0,BLOUSE,XL,MAROON
BL113-XS,BL113,27.0,BLOUSE,XS,MAROON
BL113-XXL,BL113,7.0,BLOUSE,XXL,MAROON
,BL113,0.0,BLOUSE,XXXL,MAROON
BL0115-S,BL115,2.0,BLOUSE,S,OLIVE
BTM002-L,BTM002,61.0,PANT,L,WHITE
BTM002-M,BTM002,40.0,PANT,M,WHITE
BTM002-S,BTM002,85.0,PANT,S,WHITE
BTM002-XL,BTM002,22.0,PANT,XL,WHITE
BTM002-XS,BTM002,158.0,PANT,XS,WHITE
BTM002-XXL,BTM002,158.0,PANT,XXL,WHITE
BTM002-XXXL,BTM002,194.0,PANT,XXXL,WHITE
BTM003-L,BTM003,32.0,PANT,L,MAROON
BTM003-M,BTM003,25.0,PANT,M,MAROON
BTM003-S,BTM003,35.0,PANT,S,MAROON
BTM003-XL,BTM003,24.0,PANT,XL,MAROON
BTM003-XS,BTM003,40.0,PANT,XS,MAROON
BTM003-XXL,BTM003,4.0,PANT,XXL,MAROON
BTM003-XXXL,BTM003,4.0,PANT,XXXL,MAROON
BTM004-L,BTM004,1.0,BOTTOM,L,WHITE
BTM004-S,BTM004,2.0,BOTTOM,S,WHITE
BTM004-XL,BTM004,3.0,BOTTOM,XL,WHITE
BTM004-XS,BTM004,0.0,BOTTOM,XS,WHITE
BTM004-XXL,BTM004,2.0,BOTTOM,XXL,WHITE
BTM004-XXXL,BTM004,3.0,BOTTOM,XXXL,WHITE
BTM005-L,BTM005,398.0,PANT,L,BLACK
BTM005-M,BTM005,250.0,PANT,M,BLACK
BTM005-S,BTM005,347.0,PANT,S,BLACK
BTM005-XL,BTM005,75.0,PANT,XL,BLACK
BTM005-XS,BTM005,88.0,PANT,XS,BLACK
BTM005-XXL,BTM005,21.0,PANT,XXL,BLACK
BTM005-XXXL,BTM005,59.0,PANT,XXXL,BLACK
BTM006-L,BTM006,2.0,BOTTOM,L,GREEN
BTM006-M,BTM006,2.0,BOTTOM,M,GREEN
BTM006-S,BTM006,1.0,BOTTOM,S,GREEN
BTM006-XL,BTM006,3.0,BOTTOM,XL,GREEN
BTM006-XS,BTM006,3.0,BOTTOM,XS,GREEN
BTM006-XXL,BTM006,3.0,BOTTOM,XXL,GREEN
BTM006-XXXL,BTM006,4.0,BOTTOM,XXXL,GREEN
BTM007-L,BTM007,2.0,BOTTOM,L,BEIGE
BTM007-M,BTM007,1.0,BOTTOM,M,BEIGE
BTM007-S,BTM007,2.0,BOTTOM,S,BEIGE
BTM007-XL,BTM007,3.0,BOTTOM,XL,BEIGE
BTM007-XS,BTM007,2.0,BOTTOM,XS,BEIGE
BTM007-XXL,BTM007,2.0,BOTTOM,XXL,BEIGE
BTM008-L,BTM008,6.0,PANT,L,GREY
BTM008-M,BTM008,1.0,PANT,M,GREY
BTM008-S,BTM008,5.0,PANT,S,GREY
BTM008-XL,BTM008,10.0,PANT,XL,GREY
BTM008-XS,BTM008,21.0,PANT,XS,GREY
BTM008-XXL,BTM008,6.0,PANT,XXL,GREY
BTM008-XXXL,BTM008,15.0,PANT,XXXL,GREY
BTM021-L,BTM021,136.0,PANT,L,NAVY BLUE
BTM021-M,BTM021,63.0,PANT,M,NAVY BLUE
BTM021-S,BTM021,134.0,PANT,S,NAVY BLUE
BTM021-XL,BTM021,176.0,PANT,XL,NAVY BLUE
BTM021-XS,BTM021,41.0,PANT,XS,NAVY BLUE
BTM021-XXL,BTM021,92.0,PANT,XXL,NAVY BLUE
BTM021-XXXL,BTM021,102.0,PANT,XXXL,NAVY BLUE
BTM026-NP-L,BTM026,1.0,PANT,L,RED
BTM026-NP-M,BTM026,6.0,PANT,M,RED
BTM026-NP-S,BTM026,6.0,PANT,S,RED
BTM026-NP-XL,BTM026,0.0,PANT,XL,RED
BTM026-NP-XS,BTM026,23.0,PANT,XS,RED
BTM026-NP-XXL,BTM026,0.0,PANT,XXL,RED
BTM026-NP-XXXL,BTM026,3.0,PANT,XXXL,RED
BTM027-NP-L,BTM027,14.0,PANT,L,GREEN
BTM027-NP-M,BTM027,14.0,PANT,M,GREEN
BTM027-NP-S,BTM027,37.0,PANT,S,GREEN
BTM027-NP-XL,BTM027,8.0,PANT,XL,GREEN
BTM027-NP-XS,BTM027,25.0,PANT,XS,GREEN
BTM027-NP-XXL,BTM027,25.0,PANT,XXL,GREEN
BTM027-NP-XXXL,BTM027,16.0,PANT,XXXL,GREEN
BTM029-NP-L,BTM029,2.0,PANT,L,BEIGE
BTM029-NP-M,BTM029,4.0,PANT,M,BEIGE
BTM029-NP-S,BTM029,1.0,PANT,S,BEIGE
BTM029-NP-XL,BTM029,2.0,PANT,XL,BEIGE
BTM029-NP-XS,BTM029,2.0,PANT,XS,BEIGE
BTM029-NP-XXL,BTM029,0.0,PANT,XXL,BEIGE
BTM029-NP-XXXL,BTM029,1.0,PANT,XXXL,BEIGE
BTM030-NP-L,BTM030,0.0,PANT,L,DARK GREEN
BTM030-NP-M,BTM030,1.0,PANT,M,DARK GREEN
BTM030-NP-S,BTM030,8.0,PANT,S,DARK GREEN
BTM030-NP-XL,BTM030,1.0,PANT,XL,DARK GREEN
BTM030-NP-XS,BTM030,7.0,PANT,XS,DARK GREEN
BTM030-NP-XXL,BTM030,1.0,PANT,XXL,DARK GREEN
BTM030-NP-XXXL,BTM030,5.0,PANT,XXXL,DARK GREEN
BTM031-NP-L,BTM031,43.0,PANT,L,BROWN
BTM031-NP-M,BTM031,6.0,PANT,M,BROWN
BTM031-NP-S,BTM031,56.0,PANT,S,BROWN
BTM031-NP-XL,BTM031,13.0,PANT,XL,BROWN
BTM031-NP-XS,BTM031,20.0,PANT,XS,BROWN
BTM031-NP-XXL,BTM031,56.0,PANT,XXL,BROWN
BTM031-NP-XXXL,BTM031,50.0,PANT,XXXL,BROWN
BTM032-NP-L,BTM032,1.0,PANT,L,PINK
BTM032-NP-M,BTM032,1.0,PANT,M,PINK
BTM032-NP-S,BTM032,2.0,PANT,S,PINK
BTM032-NP-XL,BTM032,1.0,PANT,XL,PINK
BTM032-NP-XS,BTM032,5.0,PANT,XS,PINK
BTM032-NP-XXL,BTM032,3.0,PANT,XXL,PINK
BTM032-NP-XXXL,BTM032,1.0,PANT,XXXL,PINK
BTM033-NP-L,BTM033,0.0,PANT,L,TURQUOISE BLUE
BTM033-NP-M,BTM033,1.0,PANT,M,TURQUOISE BLUE
BTM033-NP-S,BTM033,1.0,PANT,S,TURQUOISE BLUE
BTM033-NP-XL,BTM033,1.0,PANT,XL,TURQUOISE BLUE
BTM033-NP-XS,BTM033,5.0,PANT,XS,TURQUOISE BLUE
BTM033-NP-XXL,BTM033,3.0,PANT,XXL,TURQUOISE BLUE
BTM033-NP-XXXL,BTM033,2.0,PANT,XXXL,TURQUOISE BLUE
BTM035-NP-L,BTM035,0.0,PANT,L,MUSTARD
BTM035-NP-M,BTM035,0.0,PANT,M,MUSTARD
BTM035-NP-S,BTM035,4.0,PANT,S,MUSTARD
BTM035-NP-XL,BTM035,1.0,PANT,XL,MUSTARD
BTM035-NP-XS,BTM035,12.0,PANT,XS,MUSTARD
